time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-11T09:44:39.191Z,56.361,-156.4747,81.9,2.7,ml,,,,0.28,ak,ak021d1u8zjf,2021-10-11T09:50:38.207Z,"119 km E of Chignik, Alaska",earthquake,,1.5,,,automatic,ak,ak
2021-10-11T09:30:52.082Z,56.4031,-156.5252,63.3,3.2,ml,,,,0.8,ak,ak021d1u606z,2021-10-11T09:41:22.007Z,"116 km E of Chignik, Alaska",earthquake,,1.6,,,automatic,ak,ak
2021-10-11T09:28:47.182Z,56.2908,-156.5319,48.6,2.9,ml,,,,0.42,ak,ak021d1u5kat,2021-10-11T09:32:14.982Z,"115 km E of Chignik, Alaska",earthquake,,2.8,,,automatic,ak,ak
2021-10-11T09:26:21.324Z,56.3101,-156.5352,69.5,3.3,ml,,,,0.66,ak,ak021d1u52w0,2021-10-11T10:25:56.040Z,"115 km E of Chignik, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2021-10-11T09:10:24.682Z,56.2584,-156.5532,69.1,6.9,mww,,,,0.71,ak,ak021d1u1nos,2021-10-11T10:44:27.763Z,"114 km E of Chignik, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2021-10-11T08:30:08.676Z,5.9847,-73.3004,171.68,4.1,mb,,63,0.234,0.61,us,us6000ftnd,2021-10-11T10:02:19.040Z,"6 km NE of Gámbita, Colombia",earthquake,5.3,5,0.095,31,reviewed,us,us
2021-10-11T08:00:11.950Z,19.2250003814697,-155.41633605957,34.4000015258789,2.91,ml,53,136,,0.140000001,hv,hv72749677,2021-10-11T08:16:17.078Z,"6 km ENE of P?hala, Hawaii",earthquake,0.48,0.689999998,3.59,31,automatic,hv,hv
2021-10-11T07:45:10.332Z,-7.0554,156.051,79.06,4.5,mb,,100,4.525,0.7,us,us6000ftna,2021-10-11T09:03:58.040Z,"102 km SE of Panguna, Papua New Guinea",earthquake,7.7,4.8,0.09,37,reviewed,us,us
2021-10-11T07:38:58.987Z,11.1775,-86.8972,26.95,4,mb,,186,1.155,0.64,us,us6000ftn1,2021-10-11T08:32:50.040Z,"79 km SSW of Masachapa, Nicaragua",earthquake,5.2,9.3,0.113,23,reviewed,us,us
2021-10-11T06:18:31.168Z,63.3357,-145.4695,0,3.7,ml,,,,1.18,ak,ak021d1sb34t,2021-10-11T09:29:37.903Z,"28 km NNE of Paxson, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-10-11T04:43:57.870Z,18.8103332519531,-155.499664306641,16.5300006866455,2.9,ml,47,285,,0.180000007,hv,hv72749392,2021-10-11T04:49:28.790Z,"29 km SSE of Naalehu, Hawaii",earthquake,0.83,13.9499998,3.79,10,automatic,hv,hv
2021-10-11T03:09:54.588Z,-9.0314,122.3758,97.91,4.9,mb,,40,0.416,0.79,us,us6000ftlq,2021-10-11T03:28:53.040Z,"48 km SSE of Maumere, Indonesia",earthquake,5.4,4.9,0.083,45,reviewed,us,us
2021-10-11T02:14:50.806Z,-22.3845,-67.4727,194.91,4.6,mb,,78,0.862,0.86,us,us6000ftll,2021-10-11T02:32:18.040Z,"94 km NE of San Pedro de Atacama, Chile",earthquake,9.3,11.7,0.182,9,reviewed,us,us
2021-10-11T01:48:29.200Z,18.8763333333333,-155.515333333333,34.66,2.6,ml,50,262,,0.11,hv,hv72749192,2021-10-11T03:54:24.790Z,"22 km SSE of Naalehu, Hawaii",earthquake,0.62,0.92,0.159737461636056,14,reviewed,hv,hv
2021-10-11T01:29:15.740Z,19.174165725708,-155.484832763672,31.4400005340576,2.66,ml,46,85,,0.119999997,hv,hv72749157,2021-10-11T02:26:17.801Z,"3 km SSW of P?hala, Hawaii",earthquake,0.46,0.670000017,3.87,26,automatic,hv,hv
2021-10-11T01:01:35.970Z,18.8453333333333,-155.516333333333,35.87,2.5,ml,39,274,,0.11,hv,hv72749127,2021-10-11T01:49:17.040Z,"25 km SSE of Naalehu, Hawaii",earthquake,0.64,0.81,0.0827247631480628,5,reviewed,hv,hv
2021-10-11T00:16:10.014Z,58.1154,-154.6722,8.5,2.8,ml,,,,0.79,ak,ak021d1oq0g0,2021-10-11T00:29:23.040Z,"62 km NNW of Karluk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-10T23:21:45.259Z,-23.1263,-66.7805,223.89,4.4,mb,,44,1.299,0.91,us,us6000ftkq,2021-10-10T23:35:11.040Z,"113 km W of El Aguilar, Argentina",earthquake,5.6,9.8,0.103,27,reviewed,us,us
2021-10-10T22:55:28.710Z,18.8688333333333,-155.515833333333,35.52,2.87,ml,50,265,,0.13,hv,hv72748917,2021-10-11T02:27:12.890Z,"23 km SSE of Naalehu, Hawaii",earthquake,0.48,0.88,0.157633131401052,19,reviewed,hv,hv
2021-10-10T22:45:47.790Z,18.8806666666667,-155.512666666667,34.96,3.25,ml,54,260,,0.12,hv,hv72748887,2021-10-11T02:25:03.246Z,"21 km SSE of Naalehu, Hawaii",earthquake,0.43,0.73,0.175772202660816,35,reviewed,hv,hv
2021-10-10T22:23:15.030Z,18.8818333333333,-155.513166666667,35.68,2.88,ml,52,260,,0.13,hv,hv72748842,2021-10-11T02:27:26.818Z,"21 km SSE of Naalehu, Hawaii",earthquake,0.52,0.78,0.150123443617479,18,reviewed,hv,hv
2021-10-10T22:23:11.790Z,18.9995002746582,-155.52099609375,25.1599998474121,2.59,ml,27,213,,0.209999993,hv,hv72748837,2021-10-10T22:28:43.650Z,"9 km SE of Naalehu, Hawaii",earthquake,1.07,1.35000002,4.71,6,automatic,hv,hv
2021-10-10T22:21:17.870Z,18.8451666666667,-155.517333333333,35,2.55,ml,43,273,,0.13,hv,hv72748832,2021-10-10T22:51:33.700Z,"25 km SSE of Naalehu, Hawaii",earthquake,0.5,0.89,0.120111698802095,7,reviewed,hv,hv
2021-10-10T22:12:45.540Z,18.8786666666667,-155.5195,34.96,2.92,ml,45,262,,0.13,hv,hv72748822,2021-10-11T02:27:38.653Z,"21 km SSE of Naalehu, Hawaii",earthquake,0.49,0.75,0.178003940944442,11,reviewed,hv,hv
2021-10-10T21:59:50.410Z,18.8743333333333,-155.516666666667,36.01,3.05,ml,46,263,,0.13,hv,hv72748797,2021-10-11T02:28:13.934Z,"22 km SSE of Naalehu, Hawaii",earthquake,0.52,0.81,0.104657617287694,9,reviewed,hv,hv
2021-10-10T21:53:08.410Z,18.868,-155.542,35.99,4.26,ml,48,268,,0.11,hv,hv72748787,2021-10-11T08:21:26.501Z,"22 km S of Naalehu, Hawaii",earthquake,0.54,0.89,0.0680470559724808,5,reviewed,hv,hv
2021-10-10T21:52:05.230Z,32.2689,49.6632,10,4.4,mb,,69,4.344,0.63,us,us6000ftkb,2021-10-10T22:29:49.040Z,"50 km NE of Masjed Soleym?n, Iran",earthquake,7.2,1.9,0.143,14,reviewed,us,us
2021-10-10T21:48:36.560Z,18.8203333333333,-155.527166666667,35.06,6.21,ml,54,278,,0.12,hv,hv72748782,2021-10-11T10:20:45.942Z,"27 km SSE of Naalehu, Hawaii",earthquake,0.52,0.93,0.153984707746698,25,reviewed,hv,hv
2021-10-10T19:55:00.500Z,18.7856,-66.4751,16,3.02,md,10,269,0.52,0.14,pr,pr2021283007,2021-10-10T20:13:24.710Z,"35 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.75,1.28,0.11,9,reviewed,pr,pr
2021-10-10T19:25:53.388Z,44.2866,-115.186,10,2.7,ml,,87,0.914,0.86,us,us6000ftjr,2021-10-10T20:15:21.040Z,"21 km WNW of Stanley, Idaho",earthquake,3,2,0.091,16,reviewed,us,us
2021-10-10T18:43:22.620Z,-21.7911,-68.5184,131.18,4.2,mb,,63,0.672,1.21,us,us6000ftjm,2021-10-10T19:24:07.040Z,"84 km NNE of Calama, Chile",earthquake,7.4,7,0.137,15,reviewed,us,us
2021-10-10T16:29:40.826Z,30.4075,94.7766,10,4.7,mb,,73,5.469,0.55,us,us6000ftj2,2021-10-10T17:12:14.040Z,"211 km N of Shi Yomi, India",earthquake,10,1.9,0.11,30,reviewed,us,us
2021-10-10T16:11:25.625Z,27.4312,55.229,10,4.7,mb,,52,2.626,0.4,us,us6000ftj0,2021-10-10T18:09:07.040Z,"102 km NNE of Bandar-e Lengeh, Iran",earthquake,8.1,1.9,0.063,81,reviewed,us,us
